                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2099,                 1.3583,                 1.3448,                 1.3075,                 1.6095,                 1.3423,                0.44826,                0.48588,                0.40374,                 0.2148,                 1.6756,                 1.9074,                 1.8337,                 1.7533,                 2.0822,                 1.7548,             0.00037013,             0.00037013,             0.00037013
                      2,                 1.1622,                 1.1866,                 1.3081,                 1.2946,                 1.3187,                 1.3248,                 0.4546,                0.50432,                 0.4079,                0.20983,                 1.7153,                 1.9555,                 1.8882,                 1.7839,                 2.1798,                 1.8057,             0.00073558,             0.00073558,             0.00073558
                      3,                 1.1475,                 1.1542,                 1.3073,                 1.2702,                 1.2931,                 1.3252,                0.46521,                0.53276,                0.39482,                0.21154,                 1.6764,                  1.945,                 1.8951,                  1.746,                 2.1871,                 1.7964,              0.0010961,              0.0010961,              0.0010961
                      4,                 1.1162,                  1.122,                 1.2914,                 1.2445,                 1.2332,                 1.3128,                0.45632,                0.49946,                0.39252,                0.22121,                 1.6444,                 1.8844,                 1.8682,                 1.7061,                 2.1236,                 1.7868,               0.001089,               0.001089,               0.001089
                      5,                 1.0946,                 1.0796,                 1.2752,                 1.2159,                 1.1956,                 1.2919,                0.46092,                  0.537,                0.41271,                  0.236,                 1.6068,                 1.8471,                 1.8589,                 1.6602,                 2.0546,                 1.7587,               0.001089,               0.001089,               0.001089
                      6,                 1.0613,                 1.0524,                 1.2501,                 1.1796,                 1.1575,                 1.2645,                0.51113,                0.49008,                0.42088,                0.23698,                 1.6371,                 1.9609,                  1.875,                 1.6856,                 2.1902,                 1.7616,              0.0010817,              0.0010817,              0.0010817
                      7,                 1.0604,                 1.0386,                  1.255,                 1.1811,                 1.1339,                 1.2698,                0.48005,                 0.5475,                0.41374,                0.22265,                 1.6459,                 2.0031,                 1.8824,                  1.696,                 2.2056,                 1.7804,              0.0010743,              0.0010743,              0.0010743
                      8,                 1.0463,                 1.0263,                 1.2489,                 1.1628,                 1.1212,                 1.2642,                0.46958,                0.54451,                0.43863,                0.25386,                 1.6061,                 1.8583,                 1.8755,                 1.6539,                 2.0577,                 1.7751,               0.001067,               0.001067,               0.001067
                      9,                 1.0361,                 1.0064,                 1.2376,                 1.1545,                 1.0909,                 1.2523,                0.53949,                0.54383,                0.45227,                0.24683,                 1.5874,                 1.8274,                 1.8491,                 1.6417,                 2.0515,                 1.7571,              0.0010597,              0.0010597,              0.0010597
                     10,                 1.0319,                0.99133,                 1.2327,                 1.1446,                 1.0797,                  1.247,                0.53615,                 0.5548,                0.44731,                0.24756,                 1.6067,                 1.8888,                 1.8882,                 1.6526,                 2.1183,                 1.7782,              0.0010523,              0.0010523,              0.0010523
                     11,                 1.0161,                0.98099,                 1.2217,                 1.1275,                 1.0701,                 1.2345,                0.45711,                0.52132,                0.39605,                0.22966,                 1.6009,                 1.8228,                 1.8751,                  1.648,                 2.0782,                 1.7698,               0.001045,               0.001045,               0.001045
                     12,                 1.0212,                0.97868,                 1.2193,                 1.1287,                 1.0597,                 1.2312,                0.49972,                0.56428,                0.44573,                0.24984,                 1.6047,                 1.8802,                 1.8686,                 1.6544,                 2.1223,                 1.7834,              0.0010377,              0.0010377,              0.0010377
                     13,                 1.0149,                0.97504,                 1.2214,                 1.1238,                  1.059,                 1.2339,                0.51678,                0.53855,                0.45348,                0.25431,                 1.6228,                 1.8406,                 1.9077,                 1.6677,                 2.0863,                 1.8077,              0.0010303,              0.0010303,              0.0010303
                     14,                 1.0068,                 1.0277,                 1.2128,                 1.1149,                   1.07,                 1.2253,                0.47552,                0.55402,                0.43528,                0.25063,                 1.6107,                 1.9116,                 1.8876,                 1.6423,                 2.1342,                 1.7816,               0.001023,               0.001023,               0.001023
                     15,                 0.9948,                0.94353,                 1.2093,                 1.1031,                 1.0174,                 1.2218,                0.52286,                0.55724,                 0.4407,                0.24457,                 1.5945,                 1.8569,                 1.8648,                 1.6509,                 2.0893,                 1.7736,              0.0010157,              0.0010157,              0.0010157
                     16,                0.99818,                0.94506,                  1.207,                 1.1068,                 1.0225,                 1.2186,                0.48911,                0.58651,                 0.4518,                0.25877,                 1.6061,                 1.8505,                 1.8898,                 1.6511,                 2.0686,                 1.7942,              0.0010083,              0.0010083,              0.0010083
                     17,                0.98182,                0.93162,                 1.2016,                 1.0883,                  1.006,                 1.2136,                0.48408,                0.56429,                0.42235,                0.24633,                 1.5967,                 1.9324,                 1.8865,                 1.6545,                 2.1379,                 1.7962,               0.001001,               0.001001,               0.001001
                     18,                0.99089,                0.93169,                 1.2036,                 1.0962,                 1.0029,                 1.2148,                0.52481,                0.57021,                0.45478,                0.25673,                 1.6051,                 1.8587,                 1.8892,                 1.6608,                 2.0785,                 1.7978,             0.00099368,             0.00099368,             0.00099368
                     19,                0.97975,                0.92543,                 1.1969,                 1.0828,                0.99591,                 1.2078,                0.51493,                0.58382,                0.46346,                0.27117,                 1.5894,                 1.8908,                 1.8874,                 1.6441,                 2.1297,                 1.7902,             0.00098635,             0.00098635,             0.00098635
                     20,                0.97806,                0.90754,                 1.1994,                 1.0828,                0.98065,                 1.2107,                0.50636,                0.53098,                0.43696,                0.26087,                  1.595,                 1.8456,                 1.9001,                 1.6604,                 2.0621,                 1.8313,             0.00097901,             0.00097901,             0.00097901
                     21,                0.97542,                0.90702,                 1.1977,                 1.0799,                0.97781,                 1.2097,                0.53983,                0.55559,                0.46421,                0.25828,                 1.6212,                 1.8169,                  1.939,                 1.6753,                 2.0435,                 1.8358,             0.00097168,             0.00097168,             0.00097168
                     22,                0.97606,                0.90494,                  1.199,                 1.0783,                0.97929,                 1.2112,                0.53975,                0.58666,                0.46425,                0.25569,                 1.6168,                 1.9459,                 1.9356,                 1.6548,                 2.1534,                 1.8303,             0.00096435,             0.00096435,             0.00096435
                     23,                0.97224,                0.90086,                 1.1942,                 1.0747,                0.96746,                  1.204,                0.49163,                0.55439,                0.43599,                0.25519,                 1.5977,                 1.8109,                 1.9093,                 1.6478,                 2.0442,                 1.8158,             0.00095702,             0.00095702,             0.00095702
                     24,                0.96798,                0.89791,                 1.1896,                 1.0708,                0.96524,                  1.203,                0.48788,                0.55149,                0.43702,                0.25909,                  1.606,                 1.9091,                 1.9429,                 1.6489,                 2.1159,                 1.8331,             0.00094968,             0.00094968,             0.00094968
                     25,                0.96559,                0.88976,                 1.1945,                 1.0638,                0.96411,                 1.2062,                0.51276,                0.53928,                0.45503,                0.26494,                 1.5836,                 1.8316,                 1.9044,                 1.6331,                 2.0834,                 1.8118,             0.00094235,             0.00094235,             0.00094235
                     26,                0.96507,                0.88041,                   1.19,                 1.0622,                0.94685,                 1.1995,                0.52183,                0.54694,                0.44167,                0.25569,                 1.5984,                 1.8461,                 1.9047,                 1.6411,                 2.1026,                 1.8165,             0.00093502,             0.00093502,             0.00093502
                     27,                0.95467,                0.87249,                 1.1798,                 1.0554,                0.93562,                 1.1906,                0.51707,                 0.5625,                0.44428,                0.25522,                 1.6043,                 1.8727,                 1.9071,                 1.6581,                 2.1165,                 1.8092,             0.00092769,             0.00092769,             0.00092769
                     28,                0.95691,                0.87299,                 1.1809,                 1.0606,                0.93404,                  1.192,                0.52344,                0.56395,                0.45592,                0.25748,                 1.6084,                  1.845,                 1.9115,                 1.6595,                  2.074,                 1.8262,             0.00092035,             0.00092035,             0.00092035
                     29,                0.96037,                0.86955,                  1.183,                   1.06,                0.93248,                 1.1934,                0.48835,                0.54868,                0.45035,                0.26012,                 1.5938,                 1.8303,                 1.8834,                   1.64,                 2.0789,                 1.8035,             0.00091302,             0.00091302,             0.00091302
